name,category,startupCostPerAcreMin,startupCostPerAcreMax,annualRevenuePerAcreMin,annualRevenuePerAcreMax,profitMarginMin,profitMarginMax,growingTimeDaysMin,growingTimeDaysMax,laborIntensity,bayAreaSuitability,marketDemand,waterNeeds,soilType,commonPests,commonDiseases,nutrientRequirements,pricePerPoundMin,pricePerPoundMax,harvestFrequency,notes
Microgreens,Specialty Greens,2000,5000,40000,100000,40,60,7,21,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids","Damping off, powdery mildew","High nitrogen, balanced NPK",20,50,Year-round,"Fastest ROI, perfect for Bay Area restaurants, low water usage, indoor/greenhouse production"
Sunflower Shoots,Specialty Greens,2000,4000,50000,120000,50,65,7,10,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids",Damping off,"High nitrogen, balanced NPK",25,60,Year-round,"Highest profit microgreen, nutty flavor, large shoots, restaurant favorite, fast growing"
Pea Shoots,Specialty Greens,2000,4500,45000,110000,45,60,10,14,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids","Damping off, powdery mildew",High nitrogen,20,55,Year-round,"Sweet flavor, high demand, tender shoots, Asian cuisine staple, excellent margins"
Radish Microgreens,Specialty Greens,1800,4000,40000,95000,45,60,5,7,High,5,Very High,Low,Well-draining potting mix,Fungus gnats,Damping off,Balanced NPK,22,50,Year-round,"Fastest growing microgreen, spicy flavor, vibrant color, high turnover, great margins"
Broccoli Microgreens,Specialty Greens,2000,4500,42000,100000,45,58,8,12,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids",Damping off,High nitrogen,24,52,Year-round,"Superfood status, health benefits, mild flavor, restaurant demand, consistent sales"
Wheatgrass,Specialty Greens,1500,3500,35000,85000,45,55,7,10,Medium-High,5,High,Low,Well-draining potting mix,Fungus gnats,"Damping off, mold",High nitrogen,18,45,Year-round,"Juice bars demand, health food market, easy to grow, detox trend, year-round production"
Basil Microgreens,Specialty Greens,2000,5000,45000,105000,48,62,10,14,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids","Damping off, fusarium","High nitrogen, warm conditions",28,58,Year-round,"Premium pricing, intense flavor, chef favorite, Italian cuisine, high profit margins"
Cilantro Microgreens,Specialty Greens,1800,4000,38000,90000,45,58,12,18,High,5,Very High,Low,Well-draining potting mix,"Fungus gnats, aphids",Damping off,Moderate nitrogen,20,48,Year-round,"Latin + Asian cuisine, strong flavor, restaurant staple, no bolting issues, consistent demand"
Amaranth Microgreens,Specialty Greens,2200,4500,48000,110000,50,65,8,12,High,5,High,Low,Well-draining potting mix,Fungus gnats,Damping off,High nitrogen,30,65,Year-round,"Stunning red/purple color, nutty flavor, high nutrition, premium pricing, Instagram-worthy"
Arugula Microgreens,Specialty Greens,1800,3800,38000,88000,45,58,7,10,High,5,Very High,Low,Well-draining potting mix,"Flea beetles, aphids",Damping off,Moderate nitrogen,22,48,Year-round,"Peppery flavor, fast growing, salad mix staple, restaurant demand, easy to grow"
Cannabis,Licensed Crops,50000,200000,150000,500000,30,50,90,120,Very High,5,Very High,High,Rich organic soil,"Spider mites, aphids, thrips","Powdery mildew, bud rot, root rot",High phosphorus during flowering,1500,3000,2-3 times/year,"Requires license $50K-$200K+, heavy regulation, high competition, security required"
Gourmet Mushrooms,Mushrooms,10000,20000,60000,100000,35,45,42,70,Medium-High,5,High,Low,Sterilized substrate,"Mites, flies","Trichoderma, green mold, bacterial blotch","Nitrogen-rich substrate, humidity",10,20,Year-round,"Indoor production, year-round harvest, high restaurant demand, controlled environment"
Strawberries,Berries,8000,15000,30000,50000,25,35,120,180,High,5,High,Medium,Sandy loam,"Spider mites, aphids, slugs","Gray mold, powdery mildew, verticillium wilt","Balanced NPK, calcium",3,8,Seasonal to year-round,"Perfect Bay Area climate, U-pick potential, agritourism, coastal fog benefits"
Lavender,Herbs & Flowers,5000,10000,20000,40000,40,50,730,1095,Low-Medium,5,Medium-High,Very Low,"Well-draining, alkaline","Whiteflies, spittlebugs","Root rot (overwatering), fungal diseases","Low nitrogen, well-draining soil",15,30,Multiple/year,"Drought tolerant, value-added products (oil, soap), beautiful, low maintenance"
